session_id,services,services_str
129_2025-09-22 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
129_2025-10-27 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
12_2023-04-26 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
12_2024-02-02 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
12_2025-06-17 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
12_2025-07-28 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
12_2025-08-31 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
12_2025-10-20 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1300_2022-12-22 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1300_2024-03-15 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1300_2024-09-10 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1300_2024-12-10 15:00:00,"[20, 17, 6, 9, 2]","20,17,6,9,2"
1300_2025-09-11 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1301_2022-12-01 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1301_2023-03-16 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1301_2023-08-28 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1301_2023-09-27 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1301_2023-10-08 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1301_2023-12-11 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1301_2024-03-21 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1301_2024-04-09 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1301_2024-07-03 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1301_2024-07-09 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1301_2024-12-24 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1301_2025-02-20 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1301_2025-05-04 15:00:00,"[20, 17, 6, 9, 15]","20,17,6,9,15"
1302_2023-01-23 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1302_2023-04-28 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1302_2023-05-20 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1302_2023-06-02 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1302_2023-08-10 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1302_2023-09-21 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1302_2023-11-23 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1302_2024-06-23 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1302_2024-08-07 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1302_2024-09-20 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1302_2024-10-02 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1302_2024-11-15 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1302_2024-11-17 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1302_2024-11-22 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1302_2025-03-09 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1302_2025-07-12 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1302_2025-07-27 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1302_2025-08-27 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1303_2023-06-07 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1303_2023-06-12 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1303_2023-06-18 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1303_2023-06-25 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1303_2023-11-18 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1303_2023-12-27 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1303_2024-05-11 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1303_2024-05-27 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1303_2024-07-01 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1303_2024-12-14 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1303_2025-02-07 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1303_2025-04-15 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1303_2025-04-17 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1303_2025-07-04 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1303_2025-10-26 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1304_2023-02-06 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1304_2023-04-10 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1304_2023-10-20 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1304_2024-05-10 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1304_2024-07-01 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1304_2024-07-03 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1304_2024-12-20 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1304_2024-12-27 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1304_2025-07-24 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1304_2025-09-15 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1305_2023-06-11 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1305_2023-07-15 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1305_2023-12-29 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1305_2024-02-02 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1305_2024-02-07 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1305_2024-07-30 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1305_2024-08-18 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1305_2024-11-03 15:00:00,"[20, 17, 6, 9, 13]","20,17,6,9,13"
1306_2022-12-03 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1306_2023-02-21 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1306_2023-03-03 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1306_2023-04-20 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1306_2023-08-05 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1306_2023-10-16 15:00:00,"[20, 17, 6, 9, 4]","20,17,6,9,4"
1306_2023-11-12 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1306_2023-12-02 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1306_2024-04-23 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1306_2024-06-25 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1306_2024-07-16 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1306_2024-08-26 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1306_2025-07-07 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1306_2025-11-06 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1307_2022-11-14 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1307_2022-12-21 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1307_2023-02-18 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1307_2023-04-21 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1307_2023-08-14 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1307_2023-09-11 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1307_2023-09-21 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1307_2023-10-13 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1307_2024-03-22 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1307_2024-05-15 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1307_2024-11-04 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1307_2025-05-08 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1308_2024-02-18 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1308_2024-02-29 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1308_2024-06-20 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1308_2024-11-08 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1308_2025-01-14 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1308_2025-03-16 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1309_2023-02-15 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1309_2023-07-13 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1309_2023-08-02 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1309_2023-09-04 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1309_2024-01-27 15:00:00,"[1, 7, 14, 12, 13]","1,7,14,12,13"
1309_2024-07-04 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1309_2024-08-06 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1309_2024-10-15 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1309_2025-06-11 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1309_2025-11-06 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
130_2022-11-17 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
130_2023-02-18 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
130_2023-08-18 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
130_2023-08-31 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
130_2024-04-13 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
130_2024-06-28 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
130_2024-06-30 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
130_2024-07-08 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
130_2024-07-18 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
130_2024-09-27 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
130_2024-10-13 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
130_2025-03-08 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
130_2025-04-07 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
130_2025-05-05 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1310_2022-12-28 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1310_2023-04-23 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1310_2023-08-31 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1310_2023-10-19 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1310_2024-02-08 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1310_2024-02-29 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1310_2024-04-25 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1310_2024-09-18 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1310_2025-02-02 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1310_2025-02-16 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1310_2025-05-10 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1310_2025-05-14 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1310_2025-06-12 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1310_2025-09-03 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1311_2023-01-09 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1311_2023-02-26 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1311_2023-07-05 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1311_2023-09-03 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1311_2024-06-03 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1311_2024-08-10 15:00:00,"[20, 17, 6, 9, 10]","20,17,6,9,10"
1311_2024-09-12 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1311_2025-02-02 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1311_2025-06-29 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1312_2024-11-19 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1312_2025-02-10 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1313_2023-04-16 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1313_2023-05-25 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1313_2023-07-31 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1313_2023-12-25 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1313_2024-07-09 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1313_2024-08-01 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1313_2025-04-05 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1313_2025-04-15 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1313_2025-06-05 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1313_2025-09-14 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1313_2025-10-08 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1313_2025-11-10 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1314_2023-01-19 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1314_2023-08-25 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1314_2023-08-29 15:00:00,"[20, 17, 6, 9, 8]","20,17,6,9,8"
1314_2023-11-30 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1314_2023-12-17 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1314_2024-02-16 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1314_2024-04-30 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1314_2024-07-02 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1314_2024-10-23 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1314_2024-12-05 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1314_2025-01-21 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1314_2025-02-23 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1315_2023-01-15 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1315_2023-05-25 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1315_2024-01-05 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1315_2024-07-09 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1315_2024-08-05 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1315_2024-08-18 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1315_2024-12-16 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1315_2024-12-23 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1315_2025-01-11 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1315_2025-09-16 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1315_2025-11-01 15:00:00,"[20, 17, 6, 9, 8]","20,17,6,9,8"
1316_2023-05-14 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1316_2023-05-17 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1316_2023-12-14 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1316_2023-12-25 15:00:00,"[20, 17, 6, 9, 18]","20,17,6,9,18"
1316_2024-04-30 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1316_2024-05-28 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1316_2024-08-09 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1316_2025-02-05 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1316_2025-03-28 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1317_2023-06-30 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1317_2023-09-28 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1317_2024-03-10 15:00:00,"[20, 17, 6, 9, 5]","20,17,6,9,5"
1317_2024-06-23 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1317_2024-12-23 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1317_2025-02-11 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1317_2025-08-06 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1317_2025-09-18 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1318_2023-01-06 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1318_2023-02-14 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1318_2023-06-15 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1318_2023-12-01 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1318_2024-05-03 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1318_2024-06-29 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1318_2024-09-09 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1318_2025-04-08 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1318_2025-06-07 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1318_2025-06-11 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1318_2025-06-16 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1318_2025-08-09 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1319_2023-03-04 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1319_2023-05-14 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1319_2023-09-10 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1319_2023-11-29 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1319_2024-06-09 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1319_2024-08-22 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1319_2024-10-30 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1319_2025-01-27 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1319_2025-02-20 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
131_2023-02-16 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
131_2023-04-04 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
131_2023-04-17 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
131_2023-07-31 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
131_2024-02-09 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
131_2024-08-20 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
131_2024-09-22 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
131_2024-10-02 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
131_2025-02-14 15:00:00,"[20, 17, 6, 9, 7]","20,17,6,9,7"
131_2025-04-25 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
131_2025-06-19 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
131_2025-06-24 15:00:00,"[20, 17, 6, 9, 16]","20,17,6,9,16"
131_2025-10-05 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1320_2022-12-24 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1320_2022-12-26 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1320_2023-02-21 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1320_2023-06-01 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1320_2023-07-21 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1320_2023-12-14 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1320_2023-12-31 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1320_2024-06-01 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1320_2024-09-01 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1320_2025-01-08 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1320_2025-03-02 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1320_2025-09-24 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1320_2025-10-04 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1320_2025-10-17 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1321_2023-03-02 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1321_2023-03-13 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1321_2023-04-12 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1321_2023-07-17 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1321_2024-01-15 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1321_2024-01-27 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1321_2024-01-31 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1321_2024-09-06 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1321_2024-12-27 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1321_2025-02-18 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1321_2025-09-11 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1321_2025-09-17 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1322_2023-02-13 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1322_2023-08-10 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1322_2023-11-03 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1322_2024-04-26 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1322_2024-06-17 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1322_2024-06-27 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1322_2024-09-14 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1322_2024-12-01 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1322_2025-06-06 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1322_2025-06-23 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1323_2023-01-16 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1323_2023-02-22 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1323_2024-06-04 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1323_2024-07-30 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1323_2025-01-31 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1323_2025-07-11 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1324_2023-01-18 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1324_2023-08-26 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1324_2023-12-25 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1324_2024-08-08 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1324_2024-11-02 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1324_2025-02-08 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1324_2025-02-22 15:00:00,"[12, 9, 1, 11, 7]","12,9,1,11,7"
1324_2025-03-28 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1324_2025-10-16 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1325_2023-04-29 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1325_2023-07-08 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1325_2023-10-24 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1325_2024-05-30 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1325_2025-01-07 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1325_2025-06-26 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1325_2025-10-07 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1326_2023-02-26 15:00:00,"[20, 17, 6, 9, 11]","20,17,6,9,11"
1326_2023-05-15 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1326_2023-06-19 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1326_2023-07-23 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1326_2023-12-11 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1326_2024-05-16 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1326_2024-10-06 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1326_2024-10-10 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1326_2024-12-08 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1326_2024-12-20 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1326_2025-01-30 15:00:00,"[20, 17, 6, 9, 18]","20,17,6,9,18"
1326_2025-03-26 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1327_2023-02-03 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1327_2023-06-24 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1327_2023-09-21 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1327_2023-10-04 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
